open,high,low,close,vol,rsi,BB_up,BB_mid,BB_low,macd,macdsignal,macdhist,atr,obv,EMA9,EMA55,EMA200,date,signal
1218.05,1218.87,1217.04,1217.47,551.9094,45.947672122863715,1223.10354463312,1218.8890000000188,1214.6744553669175,-0.5961933339649477,-0.343748809645936,-0.25244452431901165,2.1699086152885685,-682760226439.945,1217.6557127011679,1216.6293055143615,1205.2527551344865,2022-11-30 00:05:00,
1217.48,1217.97,1212.5,1214.33,2716.5838,36.8114221658906,1223.4809421542727,1218.6885000000188,1213.896057845765,-0.8366912161257005,-0.4423372909418889,-0.3943539251838116,2.4056294284822437,-682760229156.5287,1216.9905701609343,1216.5471874602772,1205.3430759789194,2022-11-30 00:10:00,
1214.33,1216.98,1213.13,1216.02,1113.3462,43.341404469479755,1223.511679989123,1218.5405000000187,1213.5693200109145,-0.8807657253273646,-0.530022977818984,-0.35074274750838064,2.50879875501922,-682760228043.1825,1216.7964561287474,1216.5283593366958,1205.4493140288803,2022-11-30 00:15:00,
1216.02,1218.0,1215.88,1217.75,1092.89,49.13605855753123,1223.4100958738607,1218.4520000000189,1213.493904126177,-0.7672541217064008,-0.5774692065964674,-0.18978491510993345,2.481027415374982,-682760226950.2925,1216.9871649029978,1216.5719893603853,1205.5717089141651,2022-11-30 00:20:00,
1217.76,1220.0,1217.75,1218.24,3355.0395,50.67479854122687,1223.3055399839327,1218.384000000019,1213.462460016105,-0.6304885733229639,-0.5880730799417667,-0.04241549338119721,2.464525457133912,-682760223595.2529,1217.2377319223983,1216.6315611689429,1205.6977615617855,2022-11-30 00:25:00,
1218.24,1222.0,1218.21,1220.93,2056.9067,58.15830855625429,1223.1979256879183,1218.357500000019,1213.5170743121196,-0.3015641285971924,-0.5307712896728518,0.22920716107565942,2.559202210195773,-682760221538.3462,1217.9761855379186,1216.7850768414805,1205.8493261233598,2022-11-30 00:30:00,Long
1220.92,1234.56,1220.92,1233.08,8689.151,75.92511518873827,1227.4166419261546,1218.8530000000192,1210.2893580738837,0.9288076059153809,-0.23885551055520526,1.1676631164705862,3.350687766610352,-682760212849.1952,1220.996948430335,1217.3670383828562,1206.1202781022319,2022-11-30 00:35:00,Long
1233.08,1280.81,1231.4,1273.59,60399.6609,90.46407874469466,1250.2527494818073,1221.4770000000192,1192.701250518231,5.113756314084412,0.8316668543727184,4.282089459711694,6.640638640423887,-682760152449.5343,1231.515558744268,1219.3750012977541,1206.7916186186276,2022-11-30 00:40:00,Long
1273.58,1280.5,1267.46,1277.89,16232.0728,91.07986707175756,1264.6467651914772,1224.304500000019,1183.9622348085609,8.677305799811165,2.400794643460408,6.276511156350757,7.097735880393607,-682760136217.4615,1240.7904469954144,1221.4648226799773,1207.4990651995367,2022-11-30 00:45:00,Long
1277.9,1283.47,1272.95,1274.09,12984.0335,85.80649079052385,1274.327876943338,1226.9905000000192,1179.6531230567005,11.067239946180507,4.134083704004428,6.9331562421760795,7.342183317508348,-682760149201.495,1247.4503575963315,1223.3442932985495,1208.1616615657106,2022-11-30 00:50:00,Long
